Angle In Radians	Average Period (s) ()Consider: what is the actual FPS? is it 240 exact? or 239.75?	Angle in Radians Uncert	Average Period Uncertainty (effective frame uncertainty / average frame * average period)
1.571	1.571	0.02	0.004
1.484	1.533	0.02	0.005
1.396	1.515	0.02	0.004
1.309	1.488	0.02	0.004
1.222	1.467	0.02	0.004
1.134	1.450	0.02	0.004
1.047	1.433	0.02	0.004
0.960	1.420	0.02	0.004
0.873	1.408	0.02	0.004
0.785	1.393	0.02	0.004
0.698	1.382	0.02	0.004
0.611	1.375	0.02	0.004
0.524	1.370	0.02	0.005
0.436	1.362	0.02	0.004
0.349	1.353	0.02	0.004
0.262	1.351	0.02	0.004
0.175	1.349	0.02	0.004
0.087	1.348	0.02	0.004
-0.087	1.348	0.02	0.004
-0.175	1.348	0.02	0.004
-0.262	1.351	0.02	0.004
-0.349	1.354	0.02	0.004
-0.436	1.358	0.02	0.004
-0.524	1.364	0.02	0.004
-0.611	1.372	0.02	0.004
-0.698	1.382	0.02	0.004
-0.785	1.392	0.02	0.004
-0.873	1.404	0.02	0.004
-0.960	1.416	0.02	0.004
-1.047	1.431	0.02	0.004
-1.134	1.449	0.02	0.004
-1.222	1.468	0.02	0.004
-1.309	1.489	0.02	0.004
-1.396	1.512	0.02	0.004
-1.484	1.535	0.02	0.004
-1.571	1.568	0.02	0.004
